Module Name,Signal Name,Fan-In,Fan-Out,Gate Count,Logic Depth,Gate Types
synthetic_module,y,7,6,9,3,"AND, NAND"
synthetic_module,y,4,7,7,3,"OR, NOR"
synthetic_module,y,7,1,7,2,OR
synthetic_module,y,4,3,8,6,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,3,8,7,4,"AND, OR, NAND, NOR"
synthetic_module,y,7,1,5,2,"AND, NAND"
synthetic_module,y,5,5,12,6,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,7,2,9,2,"AND, OR, NAND, NOR"
synthetic_module,y,8,2,13,3,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,4,1,10,4,"AND, OR, NOR, XOR"
synthetic_module,y,3,10,2,2,OR
synthetic_module,y,2,1,5,7,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,8,6,7,2,"OR, NOR"
synthetic_module,y,7,5,22,4,"AND, OR"
synthetic_module,y,8,1,13,2,AND
synthetic_module,y,5,3,15,5,"AND, OR, NAND, NOR"
synthetic_module,y,11,2,14,3,"AND, OR, XOR"
synthetic_module,y,8,1,17,4,"AND, OR, NAND"
synthetic_module,y,5,6,11,5,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,4,7,7,4,"AND, OR, NAND, NOR"
synthetic_module,y,5,6,7,4,"OR, NOR"
synthetic_module,y,7,6,14,6,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,8,9,18,4,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,4,10,6,3,"AND, NAND"
synthetic_module,y,4,5,4,3,"OR, NOR"
synthetic_module,y,7,3,14,5,"OR, XOR"
synthetic_module,y,4,4,8,5,"AND, OR, NAND, XOR"
synthetic_module,y,5,4,11,4,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,9,3,11,2,"AND, NAND"
synthetic_module,y,5,2,4,2,OR
synthetic_module,y,7,1,11,4,"AND, OR, NAND"
synthetic_module,y,4,4,3,3,AND
synthetic_module,y,10,5,23,4,"AND, OR, NAND, NOR"
synthetic_module,y,6,8,14,5,"AND, OR, NAND, NOR, XOR"
synthetic_module,y,7,8,12,3,"OR, NOR"
synthetic_module,y,3,3,6,6,"OR, NOR, XOR"
